Rank;Time;Name;Year;Country;Position;Race;Date;Result score
52;1:50.68;Tshepiso MAKOBE;13-May-01;RSA;1f2;Germiston Stadium, Johannesburg (RSA);28-Feb-26;1007
53;1:50.72;Jansen BELL;21-Aug-02;RSA;1;McArthur Stadium, Potchefstroom (RSA);24-Feb-26;1006
54;1:50.74;Kwazi NOGCANTSI;17-Jan-00;RSA;3f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;1005
55;1:50.85;Joel Thabo SEMENYA;10-Jul-99;RSA;4h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1002
56;1:50.86;Ruben VISAGIE;30-Nov-06;RSA;4f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;1002
57;1:50.90;Tshepiso MAKOBE;13-May-01;RSA;1f3;Germiston Stadium, Johannesburg (RSA);31-Jan-26;1000
57;1:50.90;Werno PRETORIUS;16-Dec-08;RSA;1;UJ Stadium, Johannesburg (RSA);14-Mar-26;1000
59;1:50.93;Corné DE FOUW;05-May-05;RSA;1f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;1000
59;1:50.93;Joel Thabo SEMENYA;10-Jul-99;RSA;11;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1000
61;1:50.97;Mihlali POSILE;30-Mar-04;RSA;3h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;998
62;1:51.05;Damian BOSCH;10-May-05;RSA;5f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;996
63;1:51.17;Johan STADLER;13-Aug-00;RSA;2;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;993
64;1:51.20;James NCUBE;07-Jul-04;RSA;8;Germiston Stadium, Johannesburg (RSA);28-Mar-26;992
65;1:51.22;Jaden DE WET;15-Jun-05;RSA;4h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;991
66;1:51.26;Tumelo Nelson LERUMO;03-Aug-03;RSA;1f1;Germiston Stadium, Johannesburg (RSA);28-Feb-26;990
67;1:51.35;Tshepiso MAKOBE;13-May-01;RSA;1f3;Germiston Stadium, Johannesburg (RSA);14-Feb-26;988
68;1:51.40;Joshua ADAMS;25-Apr-05;RSA;6f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;986
69;1:51.44;Ruben VISAGIE;30-Nov-06;RSA;1f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;985
